Czas[s],X[g],Y[g],Z[g]
0.3471,-1.0000,-1.0000,0.0000
0.3471,-1.0000,-3.0000,1.0000
0.3471,-1.0000,-1.0000,0.0000
0.3471,-1.0000,-3.0000,1.0000
0.3481,-1.0000,-3.0000,0.0000
0.3481,-1.0000,-3.0000,1.0000
0.3481,-3.0000,-1.0000,0.0000
0.3552,-1.0000,-1.0000,0.0000
0.3552,-1.0000,-1.0000,0.0000
0.3552,-1.0000,-1.0000,0.0000
0.3552,-1.0000,-1.0000,0.0000
0.3552,-1.0000,-1.0000,0.0000
0.3645,-1.0000,-1.0000,0.0000
0.3645,-1.0000,-1.0000,0.0000
0.3645,-1.0000,-3.0000,1.0000
0.3645,-1.0000,-3.0000,0.0000
0.3645,-1.0000,-1.0000,0.0000
0.3645,-1.0000,-3.0000,0.0000
0.3749,-1.0000,-1.0000,0.0000
0.3749,-1.0000,-1.0000,0.0000
0.3749,-3.0000,-3.0000,0.0000
0.3749,-1.0000,-1.0000,1.0000
0.3749,-1.0000,-1.0000,1.0000
0.3749,-1.0000,-1.0000,1.0000
0.3749,-1.0000,-1.0000,0.0000
0.3831,-1.0000,-1.0000,1.0000
0.3831,-1.0000,-1.0000,0.0000
0.3831,-1.0000,-1.0000,0.0000
0.3866,-3.0000,-1.0000,0.0000
0.3941,-1.0000,-1.0000,0.0000
0.3941,-1.0000,-1.0000,1.0000
0.3941,-1.0000,-3.0000,0.0000
0.3941,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,1.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,1.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,0.0000
0.4184,-3.0000,-1.0000,0.0000
0.4184,-1.0000,-1.0000,1.0000
0.4216,-1.0000,-1.0000,0.0000
0.4216,-1.0000,-1.0000,1.0000
0.4216,-1.0000,-1.0000,0.0000
0.4226,-1.0000,-3.0000,0.0000
0.4249,-1.0000,-1.0000,0.0000
0.4249,-1.0000,-1.0000,0.0000
0.4314,-1.0000,-1.0000,0.0000
0.4314,-1.0000,-1.0000,0.0000
0.4314,-1.0000,-3.0000,1.0000
0.4314,-1.0000,-1.0000,1.0000
0.4314,-1.0000,-1.0000,1.0000
0.4314,-1.0000,-1.0000,1.0000
0.4334,-3.0000,-1.0000,0.0000
0.4470,-1.0000,-3.0000,0.0000
0.4470,-1.0000,-1.0000,0.0000
0.4470,-1.0000,-1.0000,0.0000
0.4470,-1.0000,-1.0000,0.0000
0.4470,0.0000,-1.0000,1.0000
0.4470,-1.0000,-1.0000,0.0000
0.4470,-1.0000,-1.0000,0.0000
0.4487,-1.0000,-1.0000,0.0000
0.4715,-1.0000,-3.0000,1.0000
0.4715,-1.0000,-1.0000,0.0000
